index,mean_distance
0,1.2974299184256577
1,1.2974299184256577
2,1.2974299184256577
3,1.2974299184256575
4,1.2974299184256577
5,1.2974299184256577
6,1.2974299184256577
7,1.2974299184256575
8,1.2974299184256577
9,1.2974299184256577
10,1.2974299184256577
11,1.3289445194842409
12,1.4798514275275387
13,1.4798514275275387
14,1.4798514275275387
15,1.4798514275275387
16,1.4798514275275387
17,1.4798514275275387
18,1.4798514275275387
19,1.4798514275275387
20,1.4798514275275387
21,1.4798514275275387
22,1.4798514275275387
23,1.4798514275275387
24,1.4876537897431474
25,1.4876537897431474
26,1.4876537897431474
27,1.4876537897431472
28,1.4876537897431474
29,1.4876537897431474
30,1.4876537897431474
31,1.4876537897431474
32,1.4876537897431474
33,1.4876537897431474
34,1.4876537897431474
35,1.3197058580855892
36,1.4692335101166165
37,1.4692335101166165
38,1.4692335101166165
39,1.4692335101166165
40,1.4692335101166165
41,1.4692335101166165
42,1.4692335101166165
43,1.4692335101166165
44,1.4692335101166165
45,1.4692335101166165
46,1.4692335101166165
47,1.4692335101166165
48,1.4737669766211532
49,1.4737669766211532
50,1.4737669766211532
51,1.4737669766211532
52,1.4737669766211532
53,1.4737669766211532
54,1.4737669766211532
55,1.4737669766211534
56,1.4737669766211532
57,1.4737669766211532
58,1.4737669766211532
59,1.3606547561007445
60,1.5037764025326843
61,1.5037764025326845
62,1.5037764025326845
63,1.5037764025326845
64,1.5037764025326843
65,1.5037764025326845
66,1.5037764025326845
67,1.5037764025326845
68,1.5037764025326843
69,1.5037764025326845
70,1.5037764025326845
71,1.5037764025326845
72,1.508149848440825
73,1.508149848440825
74,1.5081498484408251
75,1.5081498484408251
76,1.508149848440825
77,1.508149848440825
78,1.5081498484408251
79,1.5081498484408251
80,1.508149848440825
81,1.5081498484408251
82,1.5081498484408251
83,1.382068413075349
84,1.532093571376834
85,1.532093571376834
86,1.532093571376834
87,1.532093571376834
88,1.532093571376834
89,1.532093571376834
90,1.532093571376834
91,1.532093571376834
92,1.532093571376834
93,1.532093571376834
94,1.532093571376834
95,1.532093571376834
96,1.5340004943541043
97,1.5340004943541043
98,1.5340004943541043
99,1.5340004943541043
