STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       1270;2022080218;    9;   25.3;  34.0;eor
       1270;2022080306;    9;   20.2;  49.0;eor
       1270;2022080312;    9;   30.6;  26.0;eor
       1270;2022080318;    9;   30.6;  29.0;eor
       1270;2022080406;    9;   23.7;  45.0;eor
       1270;2022080412;    9;   34.9;  23.0;eor
       1270;2022080418;    9;   32.1;  28.0;eor
       1270;2022080506;    9;   20.8;  79.0;eor
       1270;2022080512;    9;   26.0;  54.0;eor
       1270;2022080518;    9;   18.1;  73.0;eor
       1270;2022080606;    9;   14.1;  63.0;eor
       1270;2022080612;    9;   19.8;  39.0;eor
       1270;2022080618;    9;   19.6;  36.0;eor
       1270;2022080706;    9;   13.4;  61.0;eor
       1270;2022080712;    9;   22.7;  30.0;eor
       1270;2022080718;    9;   22.1;  30.0;eor
       1270;2022080806;    9;   13.6;  61.0;eor
       1270;2022080812;    9;   24.9;  29.0;eor
       1270;2022080818;    9;   24.2;  31.0;eor
       1270;2022080906;    9;   16.5;  58.0;eor
       1270;2022080912;    9;   25.6;  32.0;eor
       1270;2022080918;    9;   24.4;  33.0;eor
       1270;2022081006;    9;   16.8;  60.0;eor
       1270;2022081012;    9;   25.2;  34.0;eor
       1270;2022081018;    9;   24.9;  32.0;eor
       1270;2022081106;    9;   14.9;  64.0;eor
       1270;2022081112;    9;   27.2;  28.0;eor
       1270;2022081118;    9;   25.9;  29.0;eor
       1270;2022081206;    9;   16.1;  59.0;eor
       1270;2022081212;    9;   26.2;  29.0;eor
       1270;2022081218;    9;   24.7;  34.0;eor
       1270;2022081306;    9;   15.2;  67.0;eor
       1270;2022081312;    9;   26.0;  37.0;eor
       1270;2022081318;    9;   23.6;  55.0;eor
       1270;2022081406;    9;   18.3;  80.0;eor
       1270;2022081412;    9;   27.7;  41.0;eor
       1270;2022081418;    9;   27.0;  40.0;eor
       1270;2022081506;    9;   21.9;  61.0;eor
       1270;2022081512;    9;   29.2;  38.0;eor
       1270;2022081518;    9;   24.7;  49.0;eor
       1270;2022081606;    9;   18.3;  71.0;eor
       1270;2022081612;    9;   25.6;  42.0;eor
       1270;2022081618;    9;   25.5;  40.0;eor
       1270;2022081706;    9;   18.6;  66.0;eor
       1270;2022081712;    9;   30.1;  31.0;eor
       1270;2022081718;    9;   26.6;  41.0;eor
       1270;2022081806;    9;   18.4;  73.0;eor
       1270;2022081812;    9;   19.4;  88.0;eor
       1270;2022081818;    9;   22.2;  67.0;eor
       1270;2022081906;    9;   18.5;  87.0;eor
       1270;2022081912;    9;   20.9;  65.0;eor
       1270;2022081918;    9;   22.0;  60.0;eor
       1270;2022082006;    9;   16.5;  80.0;eor
       1270;2022082012;    9;   20.8;  75.0;eor
       1270;2022082018;    9;   18.7;  89.0;eor
       1270;2022082106;    9;   14.7;  99.0;eor
       1270;2022082112;    9;   23.6;  47.0;eor
       1270;2022082118;    9;   22.6;  43.0;eor
       1270;2022082206;    9;   13.8;  80.0;eor
       1270;2022082212;    9;   24.0;  35.0;eor
       1270;2022082218;    9;   22.0;  46.0;eor
       1270;2022082306;    9;   14.7;  77.0;eor
       1270;2022082312;    9;   24.3;  46.0;eor
       1270;2022082318;    9;   22.8;  48.0;eor
       1270;2022082406;    9;   16.2;  77.0;eor
       1270;2022082412;    9;   26.1;  45.0;eor
       1270;2022082418;    9;   24.8;  50.0;eor
       1270;2022082506;    9;   18.2;  84.0;eor
       1270;2022082512;    9;   27.1;  51.0;eor
       1270;2022082518;    9;   25.9;  54.0;eor
       1270;2022082606;    9;   18.7;  86.0;eor
       1270;2022082612;    9;   29.3;  46.0;eor
       1270;2022082618;    9;   19.5;  87.0;eor
       1270;2022082706;    9;   18.2;  93.0;eor
       1270;2022082712;    9;   21.2;  75.0;eor
       1270;2022082718;    9;   18.3;  81.0;eor
       1270;2022082806;    9;   15.5;  77.0;eor
       1270;2022082812;    9;   21.4;  46.0;eor
       1270;2022082818;    9;   19.8;  50.0;eor
       1270;2022082906;    9;   10.8;  84.0;eor
       1270;2022082912;    9;   20.6;  40.0;eor
       1270;2022082918;    9;   20.4;  44.0;eor
       1270;2022083006;    9;   13.1;  77.0;eor
       1270;2022083012;    9;   22.6;  45.0;eor
       1270;2022083018;    9;   20.1;  58.0;eor
       1270;2022083106;    9;   13.8;  95.0;eor
       1270;2022083112;    9;   19.1;  59.0;eor
       1270;2022083118;    9;   18.7;  55.0;eor
       1270;2022090106;    3;   10.9;  82.0;eor
       1270;2022090112;    3;   21.2;  43.0;eor
       1270;2022090118;    3;   18.2;  42.0;eor
       1270;2022090206;    3;   11.3;  74.0;eor
       1270;2022090212;    3;   21.6;  35.0;eor
       1270;2022090218;    3;   18.8;  42.0;eor
       1270;2022090306;    3;   11.5;  72.0;eor
       1270;2022090312;    3;   21.1;  38.0;eor
       1270;2022090318;    3;   16.6;  69.0;eor
       1270;2022090406;    3;   11.7;  89.0;eor
       1270;2022090412;    3;   23.9;  43.0;eor
       1270;2022090418;    3;   22.7;  46.0;eor
       1270;2022090506;    3;   14.9;  77.0;eor
       1270;2022090512;    3;   26.0;  43.0;eor
       1270;2022090518;    3;   23.4;  52.0;eor
       1270;2022090606;    3;   16.7;  84.0;eor
       1270;2022090612;    3;   20.3;  81.0;eor
       1270;2022090618;    3;   21.6;  72.0;eor
       1270;2022090706;    3;   16.0;  96.0;eor
       1270;2022090712;    3;   26.4;  47.0;eor
       1270;2022090718;    3;   23.4;  50.0;eor
       1270;2022090806;    3;   15.7;  95.0;eor
       1270;2022090812;    3;   16.9;  93.0;eor
       1270;2022090818;    3;   17.6;  64.0;eor
       1270;2022090906;    3;   14.7;  79.0;eor
       1270;2022090912;    3;   19.2;  60.0;eor
       1270;2022090918;    3;   16.9;  65.0;eor
       1270;2022091006;    3;   13.9;  85.0;eor
       1270;2022091012;    3;   17.4;  79.0;eor
       1270;2022091018;    3;   15.4;  84.0;eor
       1270;2022091106;    3;   13.9;  95.0;eor
       1270;2022091112;    3;   19.1;  62.0;eor
       1270;2022091118;    3;   14.7;  79.0;eor
       1270;2022091206;    3;    8.7; 100.0;eor
       1270;2022091212;    3;   19.9;  52.0;eor
       1270;2022091218;    3;   17.5;  64.0;eor
       1270;2022091306;    3;   15.5;  74.0;eor
       1270;2022091312;    3;   23.5;  46.0;eor
       1270;2022091318;    3;   20.3;  63.0;eor
       1270;2022091406;    3;   15.2;  97.0;eor
       1270;2022091412;    3;   14.7;  99.0;eor
       1270;2022091418;    3;   13.1; 100.0;eor
