index,mean_distance
0,1.1362160240292303
1,1.1362160240292303
2,1.1362160240292303
3,1.1431814528962183
4,1.1481388480334098
5,1.1481388480334098
6,1.1481388480334098
7,1.1562667906414241
8,1.1649090317970563
9,1.1649090317970563
10,1.1649090317970563
11,1.1749561026339028
12,1.1808250125600488
13,1.1808250125600488
14,1.1808250125600488
15,1.190627594981442
16,1.1996340676090198
17,1.1996340676090198
18,1.1996340676090198
19,1.207698963242906
20,1.215558839634311
21,1.215558839634311
22,1.215558839634311
23,1.2279896130554502
24,1.2492034675545374
25,1.2492034675545372
26,1.2492034675545374
27,1.2588127663174156
28,1.2649372911117538
29,1.2649372911117538
30,1.2649372911117538
31,1.2718564658395366
32,1.2783519709416689
33,1.2783519709416689
34,1.2783519709416689
35,1.2708828445849814
36,1.275469766312934
37,1.275469766312934
38,1.275469766312934
39,1.2720758361319786
40,1.279587817714164
41,1.279587817714164
42,1.279587817714164
43,1.2788272984783513
44,1.2845322542505357
45,1.2845322542505357
46,1.2845322542505357
47,1.286067702573128
48,1.2996745952689188
49,1.2996745952689188
50,1.299674595268919
51,1.2945087365594776
52,1.2998629442570786
53,1.2998629442570786
54,1.2998629442570786
55,1.2894619495105561
56,1.2959577507808182
57,1.2959577507808182
58,1.2959577507808182
59,1.2995228135415677
60,1.3050388057393607
61,1.3050388057393607
62,1.3050388057393607
63,1.306336499135503
64,1.312158472903522
65,1.312158472903522
66,1.312158472903522
67,1.3063381962708596
68,1.3126737332939586
69,1.3126737332939586
70,1.3126737332939586
71,1.300213342456932
72,1.3151467840821118
73,1.3151467840821118
74,1.3151467840821118
75,1.3018224802084846
76,1.3074248887006261
77,1.3074248887006261
78,1.3074248887006261
79,1.2939746537300902
80,1.3045467107974722
81,1.3045467107974722
82,1.3045467107974722
83,1.2984725410303983
84,1.3035241158080269
85,1.3035241158080269
86,1.3035241158080269
87,1.3071949291144427
88,1.3119987793487644
89,1.3119987793487644
90,1.3119987793487644
91,1.3074825319891281
92,1.3151011586556036
93,1.3151011586556036
94,1.3151011586556036
95,1.3125290731759178
96,1.326931291563045
97,1.326931291563045
98,1.326931291563045
99,1.3304194789556236
